#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.55000E+01 4.00644E-10 1.78680E-06 9.37419E-06 3.98952E-02
1.60000E+01 3.54581E-10 1.44297E-06 9.12548E-06 3.61398E-02
1.65000E+01 3.15528E-10 1.17358E-06 8.90573E-06 3.27311E-02
1.70000E+01 2.82175E-10 9.68144E-07 8.71055E-06 2.98672E-02
1.75000E+01 2.53499E-10 8.11549E-07 8.53632E-06 2.75368E-02
1.80000E+01 2.28692E-10 6.90902E-07 8.38010E-06 2.56628E-02
1.85000E+01 2.07110E-10 5.96563E-07 8.23943E-06 2.41599E-02
1.90000E+01 1.88235E-10 5.21619E-07 8.11226E-06 2.29533E-02
1.95000E+01 1.71647E-10 4.61155E-07 7.99689E-06 2.19822E-02
2.00000E+01 1.57004E-10 4.11663E-07 7.89186E-06 2.11986E-02
2.10000E+01 1.32468E-10 3.36144E-07 7.70810E-06 2.00536E-02
2.20000E+01 1.12896E-10 2.81805E-07 7.55313E-06 1.93074E-02
2.30000E+01 9.70745E-11 2.41181E-07 7.42111E-06 1.88284E-02
2.40000E+01 8.41324E-11 2.09837E-07 7.30764E-06 1.85312E-02
2.50000E+01 7.34336E-11 1.85012E-07 7.20933E-06 1.83580E-02
2.60000E+01 6.45055E-11 1.64914E-07 7.12355E-06 1.82680E-02
2.70000E+01 5.69912E-11 1.48336E-07 7.04822E-06 1.83450E-02
2.80000E+01 5.06181E-11 1.34443E-07 6.98167E-06 1.85435E-02
2.90000E+01 4.51746E-11 1.22640E-07 6.92258E-06 1.87935E-02
3.00000E+01 4.04952E-11 1.12494E-07 6.86984E-06 1.90841E-02
3.10000E+01 3.64488E-11 1.03680E-07 6.82258E-06 1.94071E-02
3.20000E+01 3.29308E-11 9.59550E-08 6.78003E-06 1.97559E-02
3.30000E+01 2.98566E-11 8.91294E-08 6.74159E-06 2.01253E-02
#nucleus-nld-mass-strength-omp 167Bi-1-1-2-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 2.63530E-12 3.12631E-11 1.32465E-19 1.57145E-18
5.00000E-03 6.58827E-12 7.81577E-11 5.17441E-18 6.13849E-17
